Ready to connect
Time result: 0.999022933 seconds.
Time result: 0.000002267 seconds.
Time result: 0.000024011 seconds.
Time result: 0.000003472 seconds.
Time result: 0.000000993 seconds.
Time result: 0.000001193 seconds.
Time result: 0.000027660 seconds.
Time result: 0.000008517 seconds.
Time result: 0.000037364 seconds.
Time result: 0.000019104 seconds.
Time result: 0.000046427 seconds.
Time result: 0.000027896 seconds.
Time result: 0.000008596 seconds.
Time result: 0.000033791 seconds.
Time result: 0.000011005 seconds.
Time result: 0.000001088 seconds.
Time result: 0.000001140 seconds.
Time result: 0.000023061 seconds.
Time result: 0.000005120 seconds.
Time result: 0.000030387 seconds.
Time result: 0.000009577 seconds.
Time result: 0.000024447 seconds.
Time result: 0.000004670 seconds.
Time result: 0.000022877 seconds.
Time result: 0.000003666 seconds.
Time result: 0.000029874 seconds.
Time result: 0.000011931 seconds.
Time result: 0.000032390 seconds.
Time result: 0.000005256 seconds.
Time result: 0.000029136 seconds.
Time result: 0.000008468 seconds.
Time result: 0.000031413 seconds.
Time result: 0.000013148 seconds.
Time result: 0.000041861 seconds.
Time result: 0.000017199 seconds.
Time result: 0.000041381 seconds.
Time result: 0.000020247 seconds.
Time result: 0.000044248 seconds.
Time result: 0.000024264 seconds.
Time result: 0.000002703 seconds.
Time result: 0.000028072 seconds.
Time result: 0.000009634 seconds.
Time result: 0.000001012 seconds.
Time result: 0.000001150 seconds.
Time result: 0.000021773 seconds.
Time result: 0.000002511 seconds.
Time result: 0.000022283 seconds.
Time result: 0.000003988 seconds.
Time result: 0.999032612 seconds.
Time result: 0.000013826 seconds.
Time result: 0.000000998 seconds.
Time result: 0.000001183 seconds.
Time result: 0.000022176 seconds.
Time result: 0.000002013 seconds.
Time result: 0.000018160 seconds.
Time result: 0.000001509 seconds.
Time result: 0.000014996 seconds.
Time result: 0.000026451 seconds.
Time result: 0.000042126 seconds.
Time result: 0.000022722 seconds.
Time result: 0.000002906 seconds.
Time result: 0.000032960 seconds.
Time result: 0.000008373 seconds.
Time result: 0.000001067 seconds.
Time result: 0.000001166 seconds.
Time result: 0.000023789 seconds.
Time result: 0.000043837 seconds.
Time result: 0.000022852 seconds.
Time result: 0.000043242 seconds.
Time result: 0.000021460 seconds.
Time result: 0.000038267 seconds.
Time result: 0.000012610 seconds.
Time result: 0.000022834 seconds.
Time result: 0.000000999 seconds.
Time result: 0.000029115 seconds.
Time result: 0.000009789 seconds.
Time result: 0.000028924 seconds.
Time result: 0.000008698 seconds.
Time result: 0.000029226 seconds.
Time result: 0.000001757 seconds.
Time result: 0.000023817 seconds.
Time result: 0.000005862 seconds.
Time result: 0.000030574 seconds.
Time result: 0.000010659 seconds.
Time result: 0.000022388 seconds.
Time result: 0.000001528 seconds.
Time result: 0.000021662 seconds.
Time result: 0.000001149 seconds.
Time result: 0.000020115 seconds.
Time result: 0.000042515 seconds.
Time result: 0.000015385 seconds.
Time result: 0.999038410 seconds.
Time result: 0.000010454 seconds.
Time result: 0.000001355 seconds.
Time result: 0.000001314 seconds.
Time result: 0.000018210 seconds.
Time result: 0.000044144 seconds.
Time result: 0.000019072 seconds.
Time result: 0.000029269 seconds.
Time result: 0.000007474 seconds.
Time result: 0.000023813 seconds.
Time result: 0.000001902 seconds.
Time result: 0.000021564 seconds.
Time result: 0.000001929 seconds.
Time result: 0.000022811 seconds.
Time result: 0.000043766 seconds.
Time result: 0.000014545 seconds.
Time result: 0.000038802 seconds.
Time result: 0.000001230 seconds.
Time result: 0.000020642 seconds.
Time result: 0.000046650 seconds.
Time result: 0.000021947 seconds.
Time result: 0.000034003 seconds.
Time result: 0.000011200 seconds.
Time result: 0.000021585 seconds.
Time result: 0.000001087 seconds.
Time result: 0.000024639 seconds.
Time result: 0.000038447 seconds.
Time result: 0.000015015 seconds.
Time result: 0.000033193 seconds.
Time result: 0.000002555 seconds.
Time result: 0.000024281 seconds.
Time result: 0.000001173 seconds.
Time result: 0.000016522 seconds.
Time result: 0.000036069 seconds.
Time result: 0.000013378 seconds.
Time result: 0.000034001 seconds.
Time result: 0.000011380 seconds.
Time result: 0.000035171 seconds.
Time result: 0.000007905 seconds.
Time result: 0.999021593 seconds.
Time result: 0.000001264 seconds.
Time result: 0.000001087 seconds.
Time result: 0.000001157 seconds.
Time result: 0.000016161 seconds.
Time result: 0.000032724 seconds.
Time result: 0.000001970 seconds.
